links,account,accountingbook,accountingperiod,activitydate,amount,customtype,entity,location,subsidiary,transactiontype,item,quantity,salesrep,department
[],52,1,47,8/1/2021,24395.52,-1,,,23,Journal,,,,
[],52,1,51,11/30/2021,-24395.52,-1,,,23,Journal,,,,
[],52,1,52,12/1/2021,24395.52,-1,,,23,Journal,,,,
[],52,1,47,8/1/2021,-25239.67,-1,,,14,Journal,,,,
[],52,1,40,3/31/2021,25239.67,-1,,,14,Journal,,,,
[],52,1,42,4/1/2021,-25239.67,-1,,,14,Journal,,,,
[],52,1,47,8/31/2021,25239.67,-1,,,14,Journal,,,,
[],52,1,40,3/1/2021,-25239.67,-1,,,14,Journal,,,,
[],52,1,44,6/30/2021,25239.67,-1,,,14,Journal,,,,
[],52,1,46,7/1/2021,-25239.67,-1,,,14,Journal,,,,
[],52,1,42,4/30/2021,25239.67,-1,,,14,Journal,,,,
[],52,1,43,5/1/2021,-25239.67,-1,,,14,Journal,,,,
[],52,1,46,7/31/2021,25239.67,-1,,,14,Journal,,,,
[],52,1,43,5/31/2021,25239.67,-1,,,14,Journal,,,,
[],52,1,44,6/1/2021,-25239.67,-1,,,14,Journal,,,,
[],52,1,43,5/31/2021,-24395.52,-1,,,23,Journal,,,,
[],52,1,40,3/31/2021,-24395.52,-1,,,23,Journal,,,,
[],52,1,42,4/1/2021,24395.52,-1,,,23,Journal,,,,
[],52,1,21,2/28/2022,473460.43,-1,,,14,Journal,,,,
[],52,1,22,3/1/2022,-473460.43,-1,,,14,Journal,,,,
[],52,1,38,1/31/2021,-24395.52,-1,,,23,Journal,,,,
[],52,1,39,2/1/2021,24395.52,-1,,,23,Journal,,,,
[],52,1,42,4/30/2021,-24395.52,-1,,,23,Journal,,,,
[],52,1,22,3/31/2022,473460.43,-1,,,14,Journal,,,,
[],52,1,24,4/1/2022,-473460.43,-1,,,14,Journal,,,,
[],52,1,43,5/1/2021,24395.52,-1,,,23,Journal,,,,
[],52,1,20,1/1/2022,-473029.93,-1,,,14,Journal,,,,
[],52,1,39,2/28/2021,-24395.52,-1,,,23,Journal,,,,
[],52,1,40,3/1/2021,24395.52,-1,,,23,Journal,,,,
[],52,1,22,3/31/2022,-3633485.78,-1,,,5,Journal,,,,
[],52,1,24,4/1/2022,3633485.78,-1,,,5,Journal,,,,
[],52,1,39,2/28/2021,60017.22,-1,,,27,Journal,,,,
[],52,1,40,3/1/2021,-60017.22,-1,,,27,Journal,,,,
[],52,1,22,3/31/2022,413921.26,-1,,,27,Journal,,,,
[],52,1,25,5/1/2022,139536.75,-1,,,23,Journal,,,,
[],52,1,24,4/30/2022,0,-1,,,24,Journal,,,,
[],52,1,25,5/1/2022,0,-1,,,24,Journal,,,,
[],52,1,24,4/30/2022,-10415.37,-1,,,17,Journal,,,,
[],52,1,25,5/1/2022,10415.37,-1,,,17,Journal,,,,
[],52,1,20,1/31/2022,399333.54,-1,,,27,Journal,,,,
[],52,1,25,5/1/2022,137370.29,-1,,,21,Journal,,,,
[],52,1,24,4/30/2022,876049.14,-1,,,20,Journal,,,,
[],52,1,25,5/1/2022,-876049.14,-1,,,20,Journal,,,,
[],52,1,22,3/31/2022,-9855863.01,-1,,,15,Journal,,,,
[],52,1,24,4/30/2022,413921.26,-1,,,27,Journal,,,,
[],52,1,21,2/1/2022,-413921.26,-1,,,27,Journal,,,,
[],52,1,48,9/30/2021,-3742189.28,-1,,,18,Journal,,,,
[],52,1,50,10/1/2021,3742189.28,-1,,,18,Journal,,,,
[],52,1,25,5/31/2022,-4113003.71,-1,,,16,Journal,,,,
[],52,1,21,2/28/2022,52239.93,-1,,,11,Journal,,,,
[],52,1,22,3/1/2022,-52239.93,-1,,,11,Journal,,,,
[],52,1,44,6/30/2021,13651.54,-1,,,11,Journal,,,,
[],52,1,46,7/1/2021,-13651.54,-1,,,11,Journal,,,,
[],52,1,25,5/31/2022,2197.96,-1,,,25,Journal,,,,
[],52,1,25,5/31/2022,0,-1,,,24,Journal,,,,
[],52,1,25,5/31/2022,-9855863.01,-1,,,15,Journal,,,,
[],52,1,42,4/30/2021,189272.64,-1,,,13,Journal,,,,
[],52,1,43,5/1/2021,-189272.64,-1,,,13,Journal,,,,
[],52,1,52,12/31/2021,13651.54,-1,,,11,Journal,,,,
[],52,1,20,1/1/2022,4364352.2,-1,,,12,Journal,,,,
